LEO-C_2_-5_1_5TM,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
LEO-C_2_-5_2_5TM,16.778592,16.860931,16.833498,16.75112,16.723634,16.778592,16.696135,16.668623,16.668623,16.696135,16.696135,16.723634,16.61356,16.723634,16.696135,16.61356,16.668623,16.530866,16.61356,16.61356,16.530866,16.586009,16.558444,16.558444,16.475671,16.641098,16.392778,16.420422,16.530866,16.448053,16.530866,16.475671,16.475671,16.392778,16.503275,16.420422,16.475671,16.420422,16.392778,16.530866,16.420422,16.448053,16.448053,16.420422,16.337449,16.36512,16.503275,16.392778,16.448053,16.420422,16.392778,-9999,16.475671,16.448053,16.420422,16.420422,16.420422,16.448053,16.36512,16.36512,16.530866,16.475671,16.36512,16.36512,16.475671,16.448053,16.392778,16.475671,16.448053,16.420422,16.475671,16.420422,16.36512,16.392778,16.36512,16.337449,16.337449,16.254356,16.36512,16.254356,16.282067,16.254356,16.309765,16.226631,16.226631,16.226631,16.171142,16.115598,16.171142,16.087806,16.004348,16.087806,16.06,16.032181,16.032181,16.087806
LEO-C_2_-5_3_5TM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO-C_4_-5_1_5TM,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
LEO-C_4_-5_2_5TM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO-C_4_-5_4_5TM,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
LEO-C_2_-4_1_5TM,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
LEO-C_2_-4_2_5TM,13.673767,13.64473,13.586611,13.615678,13.586611,13.586611,13.557528,13.557528,13.52843,13.52843,13.470187,13.470187,13.470187,13.470187,13.441042,13.441042,13.411881,13.441042,13.411881,13.382704,13.353512,13.353512,13.324305,13.324305,13.324305,13.324305,13.324305,13.265842,13.295081,13.236587,13.236587,13.236587,13.265842,13.236587,13.236587,13.236587,13.236587,13.178029,13.178029,13.178029,13.178029,13.119408,13.119408,13.148726,13.119408,13.148726,13.148726,13.148726,13.119408,13.178029,13.178029,13.148726,13.178029,13.178029,13.119408,13.178029,13.148726,13.207316,13.148726,13.207316,13.178029,13.207316,13.148726,13.207316,13.207316,13.178029,13.236587,13.178029,-9999,13.178029,13.207316,13.178029,13.178029,13.236587,13.207316,13.178029,13.178029,13.178029,13.119408,-9999,13.119408,13.119408,13.119408,13.119408,13.060723,13.031356,13.001974,13.031356,13.001974,-9999,13.001974,12.972576,12.972576,12.943161,12.913731,12.913731
LEO-C_2_-4_4_5TM,11.299847,11.299847,11.330187,11.299847,11.299847,11.299847,11.299847,11.299847,11.299847,-9999,11.299847,11.299847,11.299847,11.269489,11.299847,11.269489,11.299847,11.299847,11.269489,11.299847,11.269489,11.239114,11.239114,-9999,11.269489,11.269489,11.239114,11.269489,11.239114,11.239114,-9999,11.208721,11.208721,11.208721,11.239114,11.208721,11.208721,11.208721,11.239114,11.208721,11.17831,11.208721,11.208721,11.17831,11.17831,11.208721,11.17831,11.208721,11.17831,11.147882,11.147882,11.147882,11.17831,11.17831,11.147882,11.147882,11.117436,11.147882,11.086971,11.086971,11.117436,11.147882,-9999,11.117436,11.117436,11.086971,11.117436,11.117436,11.086971,11.086971,11.056489,11.117436,11.117436,11.086971,11.086971,11.056489,11.056489,11.056489,11.056489,11.086971,11.02599,11.056489,11.02599,11.02599,11.02599,11.056489,11.086971,11.02599,11.02599,11.02599,11.02599,10.995472,10.995472,10.995472,10.964936,10.995472
LEO-C_2_-4_5_5TM,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
