sensor name,state
LEO-E_8_4_1_5TM,0
LEO-E_8_4_2_5TM,1
LEO-E_8_4_3_5TM,1
LEO-E_6_5_1_5TM,0
LEO-E_6_5_2_5TM,1
LEO-E_6_5_3_5TM,4
LEO-E_8_5_1_5TM,0
LEO-E_8_5_2_5TM,4
LEO-E_8_5_4_5TM,0
LEO-E_2_0_1_5TM,1
LEO-E_2_0_2_5TM,1
LEO-E_2_0_4_5TM,0
LEO-E_2_0_5_5TM,1
LEO-E_4_0_1_5TM,1
LEO-E_4_0_2_5TM,0
LEO-E_4_0_4_5TM,1
LEO-E_4_0_5_5TM,0
LEO-E_6_0_1_5TM,1
LEO-E_6_0_2_5TM,1
LEO-E_6_0_4_5TM,1
LEO-E_6_0_5_5TM,1
LEO-E_8_0_1_5TM,0
LEO-E_8_0_2_5TM,1
LEO-E_8_0_3_5TM,1
LEO-E_10_0_1_5TM,0
LEO-E_10_0_2_5TM,1
LEO-E_10_0_4_5TM,1
LEO-E_10_0_5_5TM,1
LEO-E_12_0_1_5TM,1
LEO-E_12_0_2_5TM,1
LEO-E_12_0_3_5TM,0
LEO-E_14_0_1_5TM,0
LEO-E_14_0_2_5TM,1
LEO-E_14_0_4_5TM,1
LEO-E_14_0_5_5TM,1
LEO-E_10_-5_1_5TM,1
LEO-E_10_-5_2_5TM,1
LEO-E_10_-5_3_5TM,1
LEO-E_12_-5_1_5TM,0
LEO-E_12_-5_2_5TM,1
LEO-E_12_-5_4_5TM,0
LEO-E_10_-4_1_5TM,3
LEO-E_10_-4_2_5TM,1
LEO-E_10_-4_4_5TM,3
LEO-E_10_-4_5_5TM,3
LEO-E_12_-4_1_5TM,1
LEO-E_12_-4_2_5TM,1
LEO-E_12_-4_3_5TM,1
LEO-E_10_-3_1_5TM,3
LEO-E_10_-3_2_5TM,0
LEO-E_10_-3_3_5TM,2
LEO-E_12_-3_1_5TM,0
LEO-E_12_-3_2_5TM,0
LEO-E_12_-3_4_5TM,1
LEO-E_10_-2_1_5TM,1
LEO-E_10_-2_2_5TM,1
LEO-E_10_-2_4_5TM,1
LEO-E_10_-2_5_5TM,1
LEO-E_12_-2_1_5TM,3
LEO-E_12_-2_2_5TM,1
LEO-E_12_-2_3_5TM,4
LEO-E_10_-1_1_5TM,1
LEO-E_10_-1_2_5TM,1
LEO-E_10_-1_3_5TM,0
LEO-E_12_-1_1_5TM,1
LEO-E_12_-1_2_5TM,1
LEO-E_12_-1_4_5TM,3
LEO-E_10_1_1_5TM,0
LEO-E_10_1_2_5TM,0
LEO-E_10_1_3_5TM,1
LEO-E_12_1_1_5TM,1
LEO-E_12_1_2_5TM,1
LEO-E_12_1_4_5TM,1
LEO-E_10_2_1_5TM,1
LEO-E_10_2_2_5TM,0
LEO-E_10_2_4_5TM,4
LEO-E_10_2_5_5TM,0
LEO-E_12_2_1_5TM,2
LEO-E_12_2_2_5TM,0
LEO-E_12_2_3_5TM,4
LEO-E_10_3_1_5TM,1
LEO-E_10_3_2_5TM,4
LEO-E_10_3_3_5TM,4
LEO-E_12_3_1_5TM,1
LEO-E_12_3_2_5TM,1
LEO-E_12_3_4_5TM,4
LEO-E_10_4_1_5TM,1
LEO-E_10_4_2_5TM,1
LEO-E_10_4_4_5TM,2
LEO-E_10_4_5_5TM,4
LEO-E_12_4_1_5TM,4
LEO-E_12_4_2_5TM,0
LEO-E_12_4_3_5TM,0
LEO-E_10_5_1_5TM,4
LEO-E_10_5_2_5TM,4
LEO-E_10_5_3_5TM,4
LEO-E_12_5_1_5TM,1
LEO-E_12_5_2_5TM,1
LEO-E_12_5_4_5TM,4
LEO-E_14_-5_1_5TM,1
LEO-E_14_-5_2_5TM,0
LEO-E_14_-5_3_5TM,1
LEO-E_16_-5_1_5TM,1
LEO-E_16_-5_2_5TM,0
LEO-E_16_-5_4_5TM,3
LEO-E_14_-4_1_5TM,1
LEO-E_14_-4_2_5TM,1
LEO-E_14_-4_4_5TM,3
LEO-E_14_-4_5_5TM,0
LEO-E_16_-4_1_5TM,0
LEO-E_16_-4_2_5TM,3
LEO-E_16_-4_3_5TM,4
LEO-E_14_-3_1_5TM,1
LEO-E_14_-3_2_5TM,1
LEO-E_14_-3_3_5TM,1
LEO-E_16_-3_1_5TM,4
LEO-E_16_-3_2_5TM,1
LEO-E_16_-3_4_5TM,4
LEO-E_14_-2_1_5TM,1
LEO-E_14_-2_2_5TM,3
LEO-E_14_-2_4_5TM,3
LEO-E_14_-2_5_5TM,4
LEO-E_16_-2_1_5TM,1
LEO-E_16_-2_2_5TM,1
LEO-E_16_-2_3_5TM,1
LEO-E_14_-1_1_5TM,1
LEO-E_14_-1_2_5TM,1
LEO-E_14_-1_3_5TM,1
LEO-E_16_-1_1_5TM,1
LEO-E_16_-1_2_5TM,1
LEO-E_16_-1_4_5TM,3
LEO-E_14_1_1_5TM,1
LEO-E_14_1_2_5TM,0
LEO-E_14_1_3_5TM,1
LEO-E_16_1_1_5TM,0
LEO-E_16_1_2_5TM,1
LEO-E_16_1_4_5TM,0
LEO-E_14_2_1_5TM,0
LEO-E_14_2_2_5TM,1
LEO-E_14_2_4_5TM,0
LEO-E_14_2_5_5TM,1
LEO-E_16_2_1_5TM,1
LEO-E_16_2_2_5TM,1
LEO-E_16_2_3_5TM,1
LEO-E_14_3_1_5TM,0
LEO-E_14_3_2_5TM,1
LEO-E_14_3_3_5TM,3
LEO-E_16_3_1_5TM,1
LEO-E_16_3_2_5TM,0
LEO-E_16_3_4_5TM,0
LEO-E_14_4_1_5TM,1
LEO-E_14_4_2_5TM,0
LEO-E_14_4_4_5TM,0
LEO-E_14_4_5_5TM,0
LEO-E_16_4_1_5TM,0
LEO-E_16_4_2_5TM,0
LEO-E_16_4_3_5TM,1
LEO-E_14_5_1_5TM,0
LEO-E_14_5_2_5TM,0
LEO-E_14_5_3_5TM,0
LEO-E_16_5_1_5TM,1
LEO-E_16_5_2_5TM,1
LEO-E_16_5_4_5TM,1
LEO-E_18_-5_1_5TM,1
LEO-E_18_-5_2_5TM,1
LEO-E_18_-5_3_5TM,0
LEO-E_20_-5_1_5TM,0
LEO-E_20_-5_2_5TM,1
LEO-E_20_-5_4_5TM,0
LEO-E_18_-4_1_5TM,1
LEO-E_18_-4_2_5TM,1
LEO-E_18_-4_4_5TM,4
LEO-E_18_-4_5_5TM,4
LEO-E_20_-4_1_5TM,0
LEO-E_20_-4_2_5TM,1
LEO-E_20_-4_3_5TM,3
LEO-E_18_-3_1_5TM,1
LEO-E_18_-3_2_5TM,1
LEO-E_18_-3_3_5TM,4
LEO-E_20_-3_1_5TM,1
LEO-E_20_-3_2_5TM,1
LEO-E_20_-3_4_5TM,1
LEO-E_18_-2_1_5TM,0
LEO-E_18_-2_2_5TM,1
LEO-E_18_-2_4_5TM,0
LEO-E_18_-2_5_5TM,0
LEO-E_20_-2_1_5TM,1
LEO-E_20_-2_2_5TM,1
LEO-E_20_-2_3_5TM,4
LEO-E_18_-1_1_5TM,3
LEO-E_18_-1_2_5TM,1
LEO-E_18_-1_3_5TM,1
LEO-E_20_-1_1_5TM,0
LEO-E_20_-1_2_5TM,0
LEO-E_20_-1_4_5TM,0
LEO-E_18_1_1_5TM,0
LEO-E_18_1_2_5TM,4
LEO-E_18_1_3_5TM,4
LEO-E_20_1_1_5TM,1
LEO-E_20_1_2_5TM,1
LEO-E_20_1_4_5TM,4
LEO-E_18_2_1_5TM,0
LEO-E_18_2_2_5TM,1
LEO-E_18_2_4_5TM,4
LEO-E_18_2_5_5TM,0
LEO-E_20_2_1_5TM,0
