sensor name,state
LEO-W_6_-4_5_5TM,0
LEO-W_8_-4_1_5TM,0
LEO-W_8_-4_2_5TM,0
LEO-W_8_-4_3_5TM,0
LEO-W_6_-3_1_5TM,1
LEO-W_6_-3_2_5TM,4
LEO-W_6_-3_3_5TM,0
LEO-W_8_-3_1_5TM,1
LEO-W_8_-3_2_5TM,1
LEO-W_8_-3_4_5TM,1
LEO-W_6_-2_1_5TM,1
LEO-W_6_-2_2_5TM,1
LEO-W_6_-2_4_5TM,4
LEO-W_6_-2_5_5TM,0
LEO-W_8_-2_1_5TM,1
LEO-W_8_-2_2_5TM,1
LEO-W_8_-2_3_5TM,1
LEO-W_6_-1_1_5TM,1
LEO-W_6_-1_2_5TM,1
LEO-W_6_-1_3_5TM,0
LEO-W_8_-1_1_5TM,1
LEO-W_8_-1_2_5TM,4
LEO-W_8_-1_4_5TM,0
LEO-W_6_1_1_5TM,0
LEO-W_6_1_2_5TM,1
LEO-W_6_1_3_5TM,0
LEO-W_8_1_1_5TM,0
LEO-W_8_1_2_5TM,4
LEO-W_8_1_4_5TM,0
LEO-W_6_2_1_5TM,0
LEO-W_6_2_2_5TM,1
LEO-W_6_2_4_5TM,4
LEO-W_6_2_5_5TM,0
LEO-W_8_2_1_5TM,0
LEO-W_8_2_2_5TM,1
LEO-W_8_2_3_5TM,4
LEO-W_6_3_1_5TM,0
LEO-W_6_3_2_5TM,4
LEO-W_6_3_3_5TM,4
LEO-W_8_3_1_5TM,1
LEO-W_8_3_2_5TM,4
LEO-W_8_3_4_5TM,4
LEO-W_6_4_1_5TM,0
LEO-W_6_4_2_5TM,0
LEO-W_6_4_4_5TM,0
LEO-W_6_4_5_5TM,0
LEO-W_8_4_1_5TM,0
LEO-W_8_4_2_5TM,0
LEO-W_8_4_3_5TM,4
LEO-W_6_5_1_5TM,0
LEO-W_6_5_2_5TM,0
LEO-W_6_5_3_5TM,1
LEO-W_8_5_1_5TM,0
LEO-W_8_5_2_5TM,1
LEO-W_8_5_4_5TM,0
LEO-W_2_0_1_5TM,1
LEO-W_2_0_2_5TM,4
LEO-W_2_0_4_5TM,0
LEO-W_2_0_5_5TM,0
LEO-W_4_0_1_5TM,1
LEO-W_4_0_2_5TM,0
LEO-W_4_0_4_5TM,0
LEO-W_4_0_5_5TM,0
LEO-W_6_0_1_5TM,1
LEO-W_6_0_2_5TM,1
LEO-W_6_0_4_5TM,4
LEO-W_6_0_5_5TM,0
LEO-W_8_0_1_5TM,1
LEO-W_8_0_2_5TM,4
LEO-W_8_0_3_5TM,1
LEO-W_10_0_1_5TM,0
LEO-W_10_0_2_5TM,4
LEO-W_10_0_4_5TM,4
LEO-W_10_0_5_5TM,0
LEO-W_12_0_1_5TM,0
LEO-W_12_0_2_5TM,4
LEO-W_12_0_3_5TM,1
LEO-W_14_0_1_5TM,1
LEO-W_14_0_2_5TM,1
LEO-W_14_0_4_5TM,0
LEO-W_14_0_5_5TM,0
LEO-W_10_-5_1_5TM,0
LEO-W_10_-5_2_5TM,4
LEO-W_10_-5_3_5TM,4
LEO-W_12_-5_1_5TM,0
LEO-W_12_-5_2_5TM,0
LEO-W_12_-5_4_5TM,0
LEO-W_10_-4_1_5TM,1
LEO-W_10_-4_2_5TM,1
LEO-W_10_-4_4_5TM,4
LEO-W_10_-4_5_5TM,1
LEO-W_12_-4_1_5TM,0
LEO-W_12_-4_2_5TM,4
LEO-W_12_-4_3_5TM,1
LEO-W_10_-3_1_5TM,1
LEO-W_10_-3_2_5TM,0
LEO-W_10_-3_3_5TM,1
LEO-W_12_-3_1_5TM,1
LEO-W_12_-3_2_5TM,0
LEO-W_12_-3_4_5TM,4
LEO-W_10_-2_1_5TM,0
LEO-W_10_-2_2_5TM,1
LEO-W_10_-2_4_5TM,4
LEO-W_10_-2_5_5TM,4
LEO-W_12_-2_1_5TM,1
LEO-W_12_-2_2_5TM,4
LEO-W_12_-2_3_5TM,4
LEO-W_10_-1_1_5TM,0
LEO-W_10_-1_2_5TM,0
LEO-W_10_-1_3_5TM,0
LEO-W_12_-1_1_5TM,0
LEO-W_12_-1_2_5TM,0
LEO-W_12_-1_4_5TM,4
LEO-W_10_1_1_5TM,0
LEO-W_10_1_2_5TM,0
LEO-W_10_1_3_5TM,0
LEO-W_12_1_1_5TM,3
LEO-W_12_1_2_5TM,1
LEO-W_12_1_4_5TM,3
LEO-W_10_2_1_5TM,0
LEO-W_10_2_2_5TM,0
LEO-W_10_2_4_5TM,1
LEO-W_10_2_5_5TM,0
LEO-W_12_2_1_5TM,1
LEO-W_12_2_2_5TM,0
LEO-W_12_2_3_5TM,1
LEO-W_10_3_1_5TM,0
LEO-W_10_3_2_5TM,1
LEO-W_10_3_3_5TM,1
LEO-W_12_3_1_5TM,0
LEO-W_12_3_2_5TM,0
LEO-W_12_3_4_5TM,1
LEO-W_10_4_1_5TM,0
LEO-W_10_4_2_5TM,0
LEO-W_10_4_4_5TM,1
LEO-W_10_4_5_5TM,1
LEO-W_12_4_1_5TM,1
LEO-W_12_4_2_5TM,0
LEO-W_12_4_3_5TM,0
LEO-W_10_5_1_5TM,1
LEO-W_10_5_2_5TM,1
LEO-W_10_5_3_5TM,1
LEO-W_12_5_1_5TM,0
LEO-W_12_5_2_5TM,1
LEO-W_12_5_4_5TM,1
LEO-W_14_-5_1_5TM,0
LEO-W_14_-5_2_5TM,1
LEO-W_14_-5_3_5TM,1
LEO-W_16_-5_1_5TM,1
LEO-W_16_-5_2_5TM,0
LEO-W_16_-5_4_5TM,4
LEO-W_14_-4_1_5TM,1
LEO-W_14_-4_2_5TM,1
LEO-W_14_-4_4_5TM,4
LEO-W_14_-4_5_5TM,1
LEO-W_16_-4_1_5TM,0
LEO-W_16_-4_2_5TM,4
LEO-W_16_-4_3_5TM,4
LEO-W_14_-3_1_5TM,0
LEO-W_14_-3_2_5TM,4
LEO-W_14_-3_3_5TM,4
LEO-W_16_-3_1_5TM,1
LEO-W_16_-3_2_5TM,0
LEO-W_16_-3_4_5TM,1
LEO-W_14_-2_1_5TM,1
LEO-W_14_-2_2_5TM,4
LEO-W_14_-2_4_5TM,1
LEO-W_14_-2_5_5TM,1
LEO-W_16_-2_1_5TM,0
LEO-W_16_-2_2_5TM,0
LEO-W_16_-2_3_5TM,1
LEO-W_14_-1_1_5TM,1
LEO-W_14_-1_2_5TM,1
LEO-W_14_-1_3_5TM,4
LEO-W_16_-1_1_5TM,4
LEO-W_16_-1_2_5TM,4
LEO-W_16_-1_4_5TM,1
LEO-W_14_1_1_5TM,0
LEO-W_14_1_2_5TM,0
LEO-W_14_1_3_5TM,0
LEO-W_16_1_1_5TM,1
LEO-W_16_1_2_5TM,1
LEO-W_16_1_4_5TM,1
LEO-W_14_2_1_5TM,0
LEO-W_14_2_2_5TM,4
LEO-W_14_2_4_5TM,0
LEO-W_14_2_5_5TM,0
LEO-W_16_2_1_5TM,0
LEO-W_16_2_2_5TM,1
LEO-W_16_2_3_5TM,4
LEO-W_14_3_1_5TM,1
LEO-W_14_3_2_5TM,0
LEO-W_14_3_3_5TM,1
LEO-W_16_3_1_5TM,0
LEO-W_16_3_2_5TM,0
LEO-W_16_3_4_5TM,0
LEO-W_14_4_1_5TM,0
LEO-W_14_4_2_5TM,0
LEO-W_14_4_4_5TM,0
LEO-W_14_4_5_5TM,1
LEO-W_16_4_1_5TM,0
LEO-W_16_4_2_5TM,0
LEO-W_16_4_3_5TM,4
LEO-W_14_5_1_5TM,0
LEO-W_14_5_2_5TM,0
LEO-W_14_5_3_5TM,0
LEO-W_16_5_1_5TM,0
LEO-W_16_5_2_5TM,4
LEO-W_16_5_4_5TM,4
LEO-W_18_-5_1_5TM,4
LEO-W_18_-5_2_5TM,4
LEO-W_18_-5_3_5TM,0
LEO-W_20_-5_1_5TM,0
LEO-W_20_-5_2_5TM,0
LEO-W_20_-5_4_5TM,0
LEO-W_18_-4_1_5TM,1
LEO-W_18_-4_2_5TM,0
LEO-W_18_-4_4_5TM,1
LEO-W_18_-4_5_5TM,1
LEO-W_20_-4_1_5TM,1
LEO-W_20_-4_2_5TM,4
LEO-W_20_-4_3_5TM,1
LEO-W_18_-3_1_5TM,0
LEO-W_18_-3_2_5TM,0
LEO-W_18_-3_3_5TM,4
LEO-W_20_-3_1_5TM,4
LEO-W_20_-3_2_5TM,4
LEO-W_20_-3_4_5TM,4
LEO-W_18_-2_1_5TM,0
LEO-W_18_-2_2_5TM,4
LEO-W_18_-2_4_5TM,1
LEO-W_18_-2_5_5TM,0
LEO-W_20_-2_1_5TM,0
LEO-W_20_-2_2_5TM,0
LEO-W_20_-2_3_5TM,1
LEO-W_18_-1_1_5TM,4
LEO-W_18_-1_2_5TM,0
LEO-W_18_-1_3_5TM,1
LEO-W_20_-1_1_5TM,0
LEO-W_20_-1_2_5TM,0
LEO-W_20_-1_4_5TM,0
LEO-W_18_1_1_5TM,0
LEO-W_18_1_2_5TM,1
LEO-W_18_1_3_5TM,2
LEO-W_20_1_1_5TM,0
LEO-W_20_1_2_5TM,2
LEO-W_20_1_4_5TM,4
LEO-W_18_2_1_5TM,0
LEO-W_18_2_2_5TM,4
LEO-W_18_2_4_5TM,2
LEO-W_18_2_5_5TM,1
LEO-W_20_2_1_5TM,0
LEO-W_20_2_2_5TM,4
LEO-W_20_2_3_5TM,4
LEO-W_18_3_1_5TM,1
LEO-W_18_3_2_5TM,2
LEO-W_18_3_3_5TM,1
LEO-W_20_3_1_5TM,1
LEO-W_20_3_2_5TM,4
LEO-W_20_3_4_5TM,2
LEO-W_18_4_1_5TM,0
LEO-W_18_4_2_5TM,2
LEO-W_18_4_4_5TM,2
LEO-W_18_4_5_5TM,0
LEO-W_20_4_1_5TM,0
LEO-W_20_4_2_5TM,0
LEO-W_20_4_3_5TM,4
LEO-W_18_5_1_5TM,4
LEO-W_18_5_2_5TM,1
LEO-W_18_5_3_5TM,2
LEO-W_20_5_1_5TM,0
LEO-W_20_5_2_5TM,4
LEO-W_20_5_4_5TM,0
LEO-W_16_0_1_5TM,0
LEO-W_16_0_2_5TM,0
LEO-W_16_0_3_5TM,4
LEO-W_18_0_1_5TM,1
LEO-W_18_0_2_5TM,4
LEO-W_18_0_4_5TM,4
LEO-W_18_0_5_5TM,4
LEO-W_20_0_1_5TM,0
LEO-W_20_0_2_5TM,4
LEO-W_20_0_3_5TM,0
LEO-W_22_0_1_5TM,1
LEO-W_22_0_2_5TM,0
LEO-W_22_0_4_5TM,0
LEO-W_22_0_5_5TM,4
LEO-W_24_0_1_5TM,0
LEO-W_24_0_2_5TM,0
LEO-W_24_0_3_5TM,4
LEO-W_26_0_1_5TM,0
LEO-W_26_0_2_5TM,0
LEO-W_26_0_4_5TM,4
LEO-W_26_0_5_5TM,4
LEO-W_28_0_1_5TM,4
LEO-W_28_0_2_5TM,0
LEO-W_28_0_3_5TM,1
LEO-W_22_-5_1_5TM,1
LEO-W_22_-5_2_5TM,4
LEO-W_22_-5_3_5TM,0
LEO-W_24_-5_1_5TM,0
LEO-W_24_-5_2_5TM,4
LEO-W_24_-5_4_5TM,1
LEO-W_22_-4_1_5TM,0
LEO-W_22_-4_2_5TM,0
LEO-W_22_-4_4_5TM,1
LEO-W_22_-4_5_5TM,4
LEO-W_24_-4_1_5TM,4
LEO-W_24_-4_2_5TM,0
LEO-W_24_-4_3_5TM,1
LEO-W_22_-3_1_5TM,0
LEO-W_22_-3_2_5TM,4
LEO-W_22_-3_3_5TM,1
LEO-W_24_-3_1_5TM,4
LEO-W_24_-3_2_5TM,4
LEO-W_24_-3_4_5TM,0
LEO-W_22_-2_1_5TM,1
LEO-W_22_-2_2_5TM,4
LEO-W_22_-2_4_5TM,1
LEO-W_22_-2_5_5TM,4
LEO-W_24_-2_1_5TM,1
LEO-W_24_-2_2_5TM,0
LEO-W_24_-2_3_5TM,0
LEO-W_22_-1_1_5TM,1
LEO-W_22_-1_2_5TM,0
LEO-W_22_-1_3_5TM,0
LEO-W_24_-1_1_5TM,0
LEO-W_24_-1_2_5TM,0
LEO-W_24_-1_4_5TM,1
LEO-W_22_1_1_5TM,0
LEO-W_22_1_2_5TM,1
LEO-W_22_1_3_5TM,4
LEO-W_24_1_1_5TM,0
LEO-W_24_1_2_5TM,0
LEO-W_24_1_4_5TM,1
LEO-W_22_2_1_5TM,0
LEO-W_22_2_2_5TM,1
LEO-W_22_2_4_5TM,0
LEO-W_22_2_5_5TM,0
LEO-W_24_2_1_5TM,0
LEO-W_24_2_2_5TM,0
LEO-W_24_2_3_5TM,4
LEO-W_22_3_1_5TM,0
LEO-W_22_3_2_5TM,4
LEO-W_22_3_3_5TM,4
LEO-W_24_3_1_5TM,0
LEO-W_24_3_2_5TM,1
LEO-W_24_3_4_5TM,4
LEO-W_22_4_1_5TM,0
LEO-W_22_4_2_5TM,1
LEO-W_22_4_4_5TM,1
LEO-W_22_4_5_5TM,4
LEO-W_24_4_1_5TM,0
LEO-W_24_4_2_5TM,4
LEO-W_24_4_3_5TM,0
LEO-W_22_5_1_5TM,4
LEO-W_22_5_2_5TM,1
LEO-W_22_5_3_5TM,4
LEO-W_24_5_1_5TM,0
LEO-W_24_5_2_5TM,1
LEO-W_24_5_4_5TM,4
LEO-W_26_-5_1_5TM,0
LEO-W_26_-5_2_5TM,0
LEO-W_26_-5_3_5TM,4
LEO-W_28_-5_1_5TM,0
LEO-W_28_-5_2_5TM,4
LEO-W_28_-5_4_5TM,0
LEO-W_26_-4_1_5TM,4
LEO-W_26_-4_2_5TM,0
LEO-W_26_-4_4_5TM,1
LEO-W_26_-2_5_5TM,0
LEO-W_28_-4_1_5TM,0
LEO-W_28_-4_2_5TM,4
LEO-W_28_-4_3_5TM,0
LEO-W_26_-3_1_5TM,0
LEO-W_26_-3_3_5TM,0
LEO-W_28_-3_1_5TM,0
LEO-W_28_-3_2_5TM,1
LEO-W_28_-3_4_5TM,4
LEO-W_26_-2_1_5TM,0
LEO-W_26_-2_4_5TM,0
LEO-W_28_-2_1_5TM,0
LEO-W_28_-2_2_5TM,1
LEO-W_28_-2_3_5TM,0
LEO-W_26_-1_1_5TM,0
LEO-W_26_-1_2_5TM,4
LEO-W_26_-1_3_5TM,0
LEO-W_28_-1_1_5TM,0
LEO-W_28_-1_2_5TM,1
LEO-W_28_-1_4_5TM,0
LEO-W_26_1_1_5TM,0
LEO-W_26_1_2_5TM,0
LEO-W_26_1_3_5TM,0
LEO-W_28_1_1_5TM,0
LEO-W_28_1_2_5TM,0
LEO-W_28_1_4_5TM,1
LEO-W_26_2_1_5TM,4
LEO-W_26_2_2_5TM,4
LEO-W_26_2_4_5TM,1
LEO-W_26_2_5_5TM,1
LEO-W_28_2_1_5TM,4
LEO-W_28_2_2_5TM,0
LEO-W_28_2_3_5TM,0
LEO-W_26_3_1_5TM,0
LEO-W_26_3_2_5TM,4
LEO-W_26_3_3_5TM,4
LEO-W_28_3_1_5TM,0
LEO-W_28_3_2_5TM,0
LEO-W_28_3_4_5TM,0
LEO-W_26_4_1_5TM,0
LEO-W_26_4_2_5TM,4
LEO-W_26_4_4_5TM,4
LEO-W_28_4_1_5TM,0
LEO-W_28_4_2_5TM,1
LEO-W_28_4_3_5TM,0
LEO-W_26_5_1_5TM,0
LEO-W_26_5_2_5TM,4
LEO-W_26_5_3_5TM,0
LEO-W_28_5_1_5TM,4
LEO-W_28_5_2_5TM,0
LEO-W_28_5_4_5TM,4
